bookID,title,authors,average_rating,language_code,num_pages,ratings_count,publication_date,publisher
15375,The Diviners,Rick Moody,3.03,eng,592,508,2007-01-02,Back Bay Books
41261,The White Widow,Jim Lehrer,3.04,en-US,224,181,2000-05-19,PublicAffairs
33075,In the Kitchen with Rosie: Oprah's Favorite Recipes,Rosie Daley/Oprah Winfrey,3.04,eng,142,767,1994-04-16,Knopf
31004,El Diablo Cojuelo,Luis Vélez de Guevara,3.06,spa,192,13,2007-01-11,Cátedra
15379,Black Veil: A Memoir with Digressions,Rick Moody,3.07,eng,336,402,2002-05-06,Little Brown and Company
15384,Garden State,Rick Moody,3.07,eng,212,714,2002-08-19,London : Faber  2002
18412,The Wind Done Gone,Alice Randall,3.07,eng,224,1698,2002-04-08,Mariner Books
38570,Bite Club (Bite Club  #1),Howard Chaykin/David Tischman/David Hahn,3.07,en-US,144,148,2005-04-20,Vertigo (DC Comics)
2152,The Jane Austen Book Club,Karen Joy Fowler,3.08,eng,288,57720,2005-04-26,G.P. Putnam's Sons
29320,Wind Child,Nancy   Harding,3.08,eng,331,13,1990-07-01,Pocket Books
681,Natural Cures They Don't Want You to Know about,Kevin Trudeau,3.09,en-US,571,1601,2004-01-01,Alliance Publishing
37491,The Truth of the Matter,Robb Forman Dew,3.09,eng,352,194,2006-11-03,Back Bay Books
18837,Cliffs Notes on Woolf's Mrs. Dalloway,Gary K. Carey,3.09,eng,72,10,2003-12-12,Cliffs Notes
21615,The Coming,Joe Haldeman,3.09,eng,278,690,2001-11-01,Ace
2126,The 3-Hour Diet: On the Go,Jorge Cruise,3.1,en-US,192,31,2005-10-18,William Morrow Paperbacks
41088,Manshape,John Brunner,3.11,eng,159,34,1982-09-28,DAW SF
41760,Billy Budd  Sailor and Other Uncompleted Writings: The Writings of Herman Melville  Volume 13,Herman Melville/Hershel Parker/G. Thomas Tanselle/Harrison Hayford/Robert Sandberg/Alma MacDougall Reising,3.11,eng,1016,0,2017-09-15,Northwestern Univ Press
36361,1848: The Revolution of the Intellectuals,Lewis B. Namier/James Joll,3.11,eng,144,15,1992-03-12,British Academy
32941,True Story,Bill Maher,3.11,en-US,304,199,2005-10-01,Simon  Schuster
15610,Billy Budd  Sailor and Other Uncompleted Writings,Herman Melville,3.11,eng,1016,9,2007-12-15,Northwestern University Press
20518,The Big Bing: Black Holes of Time Management  Gaseous Executive Bodies  Exploding Careers  and Other Theories on the Origins of the Business Universe,Stanley Bing,3.11,en-US,368,27,2006-01-03,Harper Business
12906,CliffsNotes on Faulkner's Absalom  Absalom!,James Lamar Roberts/CliffsNotes,3.12,eng,64,8,1964-02-28,Cliffs Notes
41773,Billy Budd  marin,Herman Melville,3.12,fre,182,9,1987-05-14,Gallimard
41735,Billy Budd  Sailor,Herman Melville,3.12,eng,96,178,1995-10-24,Penguin Books Ltd
41264,The Franklin Affair,Jim Lehrer,3.12,eng,208,144,2006-06-13,Random House Trade
27054,Red Message,Peter Abrahams,3.12,eng,320,8,1986-04-01,Avon Books
